plotnumber,sourceyr,ecoregion,ecoregion_title,ecodistr,ecodistr_title,ecosite,ecosite_title,ecosite_soil_component,mean_tree_age_year,dominanttree,dominantshrub,dominantherb,dominantcryptogam,laivascular,laitotal,position,slope_position_title,aspect,aspect_cardinal,slope,slope_class_degrees_title,drainage,drainage_title,seepage,elevation_m,mr,soil_moisture_class_title,pm,parent_material_title,order_soil,soil_order_title,grgroup,soil_great_group_title,subgrp,soil_subgroup_title,cf_percent_120,particlesizeclassname_dom_0_30,depth_to_bedrock_cm,depth_to_water_table_cm,depth_to_root_restricting_cm,depth_of_organic_matter_cm,total_live_cover_percent,unknown_taxa_total_cover_percent,number_of_taxa_after_transform,calcareous_0_30,leaf_litter,needle_litter,rock,soil,water,woody_debris,broadleaf_tree,needleleaf_tree,broadleaf_overstory_tree,broadleaf_sapling,broadleaf_seedling,needleleaf_overstory_tree,needleleaf_sapling,needleleaf_seedling,shrub_cover,floating_aquatic_cover,forbs_and_graminoids,bryophytes_and_lichens,submerged_aquatic
94,1999 2000,TS,Taiga Shield,B1,Uranium City Upland,TS7,White birch - black spruce/lingonberry,Moderately dry loamy sand,48,PINUBAN,LEDUGRO,LINNBOR,PLEUSCH,184.06,209.36,1,Crest,999,L,1,0 – 0.5 degrees,1,Very rapid,0,370,1,Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,3,Sandy,21,NA,21,7,170.2,0,29,non-calcareous,20.25,10.25,3,0,0,10,13.14,36.33,10,3,0.5,20,20.01,0.5,66.24,0,0.5,24,0
95,1999 2000,TS,Taiga Shield,B1,Uranium City Upland,TS4,Black spruce/lingonberry/feathermoss,Moderately dry silty sand,101,PICEMAR,ALNUCRI,GRAMSPP,PLEUSCH,166.5,293.2,3,Mid Slope,360,N,7,> 30.0 degrees,1,Very rapid,1,350,1,Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,10,Loamy,19,NA,19,6,272.37,0.25,25,non-calcareous,6.5,0.5,0.005,0,0,0.5,3,92.8,0,0,3,38.44,87.5,6.43,23.76,0,0.25,100,0
98,2001,BP,Boreal Plain,E1,Firebag Hills,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,51,PINUBAN,VACCMYR,LINNBOR,POLYSP1,80.26,80.86,5,Toe Slope,311,W,2,0.5 – 2.0 degrees,4,Moderately well,0,496,5,Very Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,2,Loamy,NA,NA,NA,5,76.19,0.25,12,non-calcareous,1.75,75,0,0,0,3,0,39.38,0,0,0,37.5,3,0,30.95,0,0.25,2,0
99,2001,BP,Boreal Plain,E1,Firebag Hills,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,56.5,PINUBAN,ALNUCRI,CORNCAN,BRYOSP1,110.71,110.91,5,Toe Slope,70,E,2,0.5 – 2.0 degrees,3,Well,0,525,4,Fresh,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,45,Loamy,NA,NA,NA,7,99.39,0,16,non-calcareous,62.5,28.75,0,1.5,0,3,0,22.4,0,0,0,20,3,0,57.6,0,7.76,0.25,0
104,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP7,Trembling aspen - white birch/sarsaparilla,Fresh loamy sand,52.33333206,POPUTRE,VIBUEDU,TRIEBOR,HYPOPHY,155.025,156.125,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,434,5,Very Fresh,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,5,Loamy,NA,NA,NA,8,142.82,0,41,non-calcareous,87.5,0.5,0,0,0,15,73.21,20.82,72.66,0.5,1.5,10,5.91,6.5,17.69,0,11.03,3.25,0
110,1999 2000,TS,Taiga Shield,B1,Uranium City Upland,TS2,Jack pine - black spruce/lichen,Moderately dry sand,81,PINUBAN,VACCVIT,GEOCLIV,CLADMIT,49.24,89.59,3,Mid Slope,160,S,2,0.5 – 2.0 degrees,5,Imperfect,0,346,8,Very Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,10,Sandy,NA,NA,NA,3,99.77,0.26,28,non-calcareous,3,20,0,0,0,1.75,0.01,10.01,0,0,0.01,10,0.01,0,31.57,0,5.5,50.25,0
111,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP14,Black spruce/Labrador tea/feathermoss,Very moist sandy clay loam,57,PICEMAR,LEDUGRO,CORNCAN,PLEUSCH,114.23,178.03,7,Level,999,L,1,0 – 0.5 degrees,6,Poor,0,426,8,Very Moist,1,Fluvial,2,Gleysolic,5,Gleysol,FER,Fera,3,Loamy,NA,NA,NA,11,139.26,1.005,23,non-calcareous,1.75,5.25,0,0,0,6.5,0,54.13,0,0,0,50.5,5.91,1.5,7.13,0,1.75,67.75,0
112,1999 2000,TS,Taiga Shield,B1,Uranium City Upland,TS4,Black spruce/lingonberry/feathermoss,Moderately dry silty sand,82,PICEMAR,LEDUGRO,PYROSEC,PLEUSCH,109.26,193.96,4,Lower Slope,22,N,6,15.0 – 30.0 degrees,2,Rapid,0,361,2,Moderately Dry,2,Glacial-fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Loamy,15,NA,15,8,191.76,0.25,29,non-calcareous,11.5,6.5,3,0,0,1.75,3,66.76,0,3,0,10,62.5,1.5,20.84,0,0.5,92,0
113,1999 2000,TS,Taiga Shield,B1,Uranium City Upland,TS3,White birch/lingonberry/lichen,Moderately dry loamy sand,64,BETUPAP,LEDUGRO,PYROASA,HYLOSPL,106.46,138.51,4,Lower Slope,360,N,6,15.0 – 30.0 degrees,1,Very rapid,0,367,1,Dry,7,Organic,1,Organic,18,Folisol,HEM,Hemic,0,LFH,20,NA,20,20,151.01,0,32,non-calcareous,50,0,3,0,0,6.5,62.69,3,62.5,0.5,0,0,3,0,35.46,0,0.25,43.75,0
116,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP4,Jack pine - trembling aspen/feathermoss,Moderately fresh sand,46,PINUBAN,LEDUGRO,CORNCAN,PLEUSCH,106.95,187.05,4,Lower Slope,307,W,2,0.5 – 2.0 degrees,6,Poor,1,426,8,Very Moist,4,Lacustrine,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,2,Loamy,NA,113,NA,10,193.04,1,32,non-calcareous,10,3,0,0,0,1.75,27.11,30.17,19,10.01,0,28,3.01,0,34.39,0,7.51,83.5,0
117,1999 2000,TS,Taiga Shield,B1,Uranium City Upland,TS5,Trembling aspen/prickly rose - twinflower,Moderately dry sand,55,POPUTRE,ROSAACI,CORNCAN,CLADCRI,127.315,128.515,7,Level,999,L,1,0 – 0.5 degrees,1,Very rapid,0,346,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,28,Sandy,NA,NA,NA,14,137.12,0,31,non-calcareous,87.5,0.25,0,0,0,1.75,88.78,0.01,87.5,10,0.27,0,0,0.01,13.11,0,20.5,5.25,0
118,1999 2000,TS,Taiga Shield,B1,Uranium City Upland,TS6,White birch - spruce/green alder,Moderately fresh sand,99.33333588,PICEGLA,VACCVIT,CORNCAN,PLEUSCH,115.81,214.71,1,Crest,999,L,1,0 – 0.5 degrees,1,Very rapid,0,346,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,16,Sandy,NA,NA,NA,5,222.51,0,30,non-calcareous,3,6.5,0,0,0,5.25,12.7,66.64,3,10,0,24.73,55,1.5,3.74,0,7.75,100,0
119,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP6,Trembling aspen/beaked hazel/sarsaparilla,Fresh loamy sand,50.75,POPUTRE,ALNUCRI,LINNBOR,HYLOSPL,113.48,114.78,2,Upper Slope,357,N,3,2.0 – 5.0 degrees,3,Well,0,436,4,Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,17,Sandy,NA,NA,NA,13,109.28,0.75,28,non-calcareous,87.5,1.5,0,0,0,10,74.6,3,70.9,12.7,0.01,3,0,0,3.71,0,13,3.5,0
120,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP14,Black spruce/Labrador tea/feathermoss,Very moist sandy clay loam,47.25,POPUTRE,ROSAACI,PETAPAL,PLEUSCH,113.51,119.71,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,437,6,Moderately Moist,3,Morainal,4,Luvisolic,7,"Gray						",BRU,Brunisolic,29,Loamy,NA,NA,NA,9,119.23,0,31,non-calcareous,87.5,3,0,0,0,15,45.57,45.44,45.44,0,0.25,43.75,3,0,6.1,0,8.25,7.25,0
127,1999 2000,BP,Boreal Plain,E2,Garson Lake Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,52,PINUBAN,VACCMYR,CORNCAN,PLEUSCH,79.02,121.57,4,Lower Slope,331,N,2,0.5 – 2.0 degrees,4,Moderately well,0,439,5,Very Fresh,1,Fluvial,9,Podzolic,20,Humo-Ferric,ORT,Orthic,6,Sandy,NA,NA,NA,13,129.01,0.005,22,non-calcareous,23.75,10,0,0,0,3,19,37.81,10,10,0,37.5,0.5,0,17.74,0,5.01,47,0
128,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,53,PINUBAN,ALNUCRI,CORNCAN,PLEUSCH,79.25,155.45,5,Toe Slope,999,L,1,0 – 0.5 degrees,3,Well,0,453,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,17,Sandy,NA,NA,NA,9,165.5,0,24,non-calcareous,5.25,3,0,0,0,11.5,5.91,39.38,3,3,0,37.5,3,0,30.19,0,4.25,81.5,0
130,2001,BP,Boreal Plain,E1,Firebag Hills,BP4,Jack pine - trembling aspen/feathermoss,Moderately fresh sand,48.5,PINUBAN,ALNUCRI,EPILANG,POLYSP1,94.6,95,6,Depression,999,L,2,0.5 – 2.0 degrees,5,Imperfect,0,514,6,Moderately Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,30,Loamy,NA,NA,NA,5,76.25,3.5,19,non-calcareous,87.5,15,0,0,0,6.5,13.14,19,3,10,0.5,10,10,0,29.42,0,9.5,1,0
131,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS13,White birch - black spruce - trembling aspen,Moderately fresh sand,80,PICEGLA,RIBETRI,EQUISYL,BRYOSPP,145.55,149.35,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,223,3,Moderately Fresh,1,Fluvial,6,Regosolic,10,"Regosol	",CUM,Cumulic,0,Sandy,NA,NA,NA,3,148.75,0,29,non-calcareous,75,10.25,0,0,0,1.5,36.96,42.4,20,20,1.5,36,10,0,1.99,0,52.75,6.5,0
134,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP19,Black spruce treed bog,Moderately wet fibric organic,177.5,LARILAR,LEDUGRO,EQUISYL,CLADMIT,49.12,66.82,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,1,446,8,Very Moist,1,Fluvial,2,Gleysolic,5,Gleysol,REG,Rego,0,Sandy,NA,0,NA,33,108.73,0,22,non-calcareous,1.75,1.75,0,0,0,3,0,29.08,0,0,0,0.01,22.4,8.6,17.53,0,0.5,58,0
137,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP6,Trembling aspen/beaked hazel/sarsaparilla,Fresh loamy sand,59.5,POPUTRE,ALNUCRI,MAIACAN,VULPPIN,118.32,119.82,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,456,5,Very Fresh,3,Morainal,4,Luvisolic,7,"Gray						",BRU,Brunisolic,12,Sandy,NA,NA,NA,10,121.26,0.25,29,non-calcareous,87.5,0,0,0,0,10,87.88,3.24,87.5,3,0.01,0,3,0.25,11.49,0,10.5,5,0
138,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,51.25,PINUBAN,ARCTUVA,LINNBOR,PLEUSCH,49.31,99.46,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,450,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,11,Sandy,NA,NA,53,8,106.01,0,23,non-calcareous,20.25,6.5,0,0,0,5.25,6.15,37.51,3,3,0.25,37.5,0.01,0,5.41,0,2.25,54.5,0
140,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP12,Jack pine - spruce/feathermoss,Fresh loamy sand,50.75,PINUBAN,LEDUGRO,CORNCAN,PLEUSCH,63.45,143.55,3,Mid Slope,999,L,3,2.0 – 5.0 degrees,5,Imperfect,1,441,8,Very Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,4,Sandy,NA,NA,NA,8,145.98,0.75,29,non-calcareous,1.75,5.25,0,0,0,3,0,39.78,0,0,0,22.4,22.4,0,14.4,0,2.75,82,0
141,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP19,Black spruce treed bog,Moderately wet fibric organic,48,PICEMAR,LEDUGRO,CALACAN,CLADMIT,35.81,38.21,6,Depression,999,L,2,0.5 – 2.0 degrees,7,Very poor,0,435,9,Moderately Wet,7,Organic,1,Organic,1,Fibrisol,TER,Terric,50,Organic Fibric,NA,14,NA,63,126.49,2.005,26,non-calcareous,6.5,1.5,0,0,0,1.75,0,10,0,0,0,0,10,0,16.98,0,3.75,94.75,0
145,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,58,PINUBAN,VACCVIT,EPILANG,CLADMIT,55.825,69.825,3,Mid Slope,262,W,5,9.0 – 15.0 degrees,2,Rapid,0,433,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,20,Sandy,NA,NA,NA,3,76.54,0.01,26,non-calcareous,0.5,62.5,0,0,0,6.5,0,37.5,0,0,0,37.5,0,0,17.48,0,2.26,18.26,0
150,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP18,Black spruce - tamarack treed swamp,Wet humic organic,60.25,LARILAR,LEDUGRO,CARESPP,LICHSP4,98.01,99.81,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,0,435,10,Wet,7,Organic,7,Cryosolic,17,Organic        ,HUM,Humic,0,Organic Fibric,NA,NA,NA,160,105.5,1,24,non-calcareous,0.5,87.5,0,0,0,15,0,65.71,0,0,0,43.75,22.4,21.45,6.38,0,0.5,6.25,0
151,2001,BS,Boreal Shield,D1,Black Birch Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,57.83333206,PICEMAR,LEDUGRO,SMILTRI,PLEUSCH,55.9,154,5,Toe Slope,258,W,2,0.5 – 2.0 degrees,3,Well,0,489,4,Fresh,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,38,Loamy,NA,NA,NA,8,143.7,0,20,non-calcareous,5.25,3,0,0,0,6.5,0.5,22.21,0,0.5,0,19.41,3.49,0,21.91,0,1.25,94.25,0
152,2001,BS,Boreal Shield,D1,Black Birch Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,69,POPUTRE,ALNUCRI,MAIACAN,PLEUSCH,84.66,106.76,3,Mid Slope,258,W,5,9.0 – 15.0 degrees,3,Well,0,492,4,Fresh,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,41,Loamy,NA,NA,NA,11,114.93,0.5,22,non-calcareous,48.75,15,0,0,0,3,22.79,10.45,0.5,22.4,0,10,0.5,0,45.38,0,1.76,26.5,0
153,2001,BP,Boreal Plain,E1,Firebag Hills,BP2,Jack pine/lichen,Moderately fresh sand,44.5,PINUBAN,VACCMYR,SOLISPA,CLADMIT,41.86,117.56,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,433,2,Moderately Dry,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,9,Sandy,NA,NA,NA,3,125.76,0,17,non-calcareous,0.5,15,0,1.5,0,6.5,0,22.4,0,0,0,20,3,0,18.37,0,2.51,80.75,0
154,2001,BS,Boreal Shield,D1,Black Birch Plain,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,69.5,POPUTRE,ARCTUVA,LINNBOR,DICRSP1,129.41,130.21,2,Upper Slope,232,W,5,9.0 – 15.0 degrees,3,Well,0,502,4,Fresh,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,29,Loamy,NA,NA,NA,19,128.01,0.25,23,non-calcareous,87.5,0,1.5,0,0,6.5,66.65,0,62.5,5.91,5.48,0,0,0,35.03,0,10.26,3.5,0
156,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS10,Black spruce - white birch/feathermoss,Fresh sand,80.66666412,PICEMAR,EMPENIG,GEOCLIV,PLEUSCH,205.405,260.305,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,226,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",CUM,Cumulic,0,Sandy,NA,NA,NA,17,220.01,0.25,24,non-calcareous,0.5,0.5,0,0,0,15,3.49,64.19,0,3,0.5,39.38,37.5,5.48,53.78,0,3.25,63,0
158,2001,BP,Boreal Plain,E3,Palmbere Plain,BP2,Jack pine/lichen,Moderately fresh sand,72.5,PINUBAN,ARCTUVA,APOCAND,CLADMIT,16.165,82.765,3,Mid Slope,274,W,3,2.0 – 5.0 degrees,4,Moderately well,0,445,5,Very Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,20,Sandy,NA,NA,NA,2,87.02,0,27,non-calcareous,0.5,10,0,5,0,1.75,0,12.93,0,0,0,10,3.01,0.25,4.43,0,2.76,66.5,0
159,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS14,White birch/lingonberry - Labrador tea,Moderately dry sand,56,BETUPAP,ARCTUVA,HIERUMB,POLYSP1,33.83,34.23,6,Depression,999,L,1,0 – 0.5 degrees,2,Rapid,0,228,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",ORT,Orthic,0,Sandy,NA,NA,NA,1,36.76,2.005,20,non-calcareous,20.25,0.5,0,41.25,0,3,23.17,0.01,3,20,1,0,0,0.01,7.32,0,4,1.25,0
160,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,47.5,PINUBAN,BETUPUM,JUNCBAL,CLADMIT,18.32,52.07,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,231,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",CUM,Cumulic,0,Sandy,NA,NA,NA,1,72.97,0,25,non-calcareous,0.5,3,0,19,0,0.5,1.5,14.45,0,0,1.5,0,10.45,4.46,1.74,0,1.5,53.25,0
163,2001,BP,Boreal Plain,E2,Garson Lake Plain,BP4,Jack pine - trembling aspen/feathermoss,Moderately fresh sand,49.5,BETUPAP,ALNUCRI,EPILANG,PLEUSCH,111.82,136.77,4,Lower Slope,242,W,2,0.5 – 2.0 degrees,5,Imperfect,0,478,7,Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,35,Sandy,NA,NA,NA,9,141.91,0.5,28,non-calcareous,36.25,0.25,0,0,0,3,12.71,10,10,3.01,0,10,0,0,61.51,0,10.5,28.75,0
165,2001,BP,Boreal Plain,E3,Palmbere Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,71.5,BETUPAP,ALNUCRI,MAIACAN,PLEUSCH,85.65,153.25,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,487,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,27,Sandy,NA,NA,NA,13,159.25,0.5,27,non-calcareous,3,6.5,0,0,0,3,30.51,28,20,12.7,0.5,20,10,0,18.14,0,6.5,69.75,0
166,2001,BS,Boreal Shield,D1,Black Birch Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,111,PINUBAN,VACCVIT,GEOCLIV,PLEUSCH,137.25,157.35,3,Mid Slope,145,S,5,9.0 – 15.0 degrees,2,Rapid,0,494,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,38,Sandy,NA,NA,NA,10,146.75,0,23,non-calcareous,53.75,10,0,0,0,11.5,28.18,43.75,0,28,0.25,37.5,10,0,41.99,0,13,10.5,0
168,2001,BS,Boreal Shield,D1,Black Birch Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,156.5,PINUBAN,ARCTUVA,MAIACAN,CLADMIT,46.02,49.12,3,Mid Slope,188,S,6,15.0 – 30.0 degrees,2,Rapid,0,487,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,20,Sandy,NA,NA,NA,4,54.27,0,20,non-calcareous,1.5,62.5,1.5,0,0,6.5,1.99,20.4,0,0.5,1.5,20,0.5,0,22.62,0,3.01,5.5,0
169,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,115.8000031,PINUBAN,ALNUCRI,GEOCLIV,PLEUSCH,96.9,108.8,7,Level,342,N,1,0 – 0.5 degrees,2,Rapid,0,238,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",CUM,Cumulic,0,Sandy,NA,NA,NA,4,111.4,0,35,non-calcareous,87.5,6.5,0,0,0,11.5,22.6,31.75,10,10,4.45,12.7,12.7,10.45,20.57,0,3.75,25.75,0
170,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,173.3333282,PICEMAR,VACCVIT,GEOCLIV,CLADSTE,16.96,109.41,7,Level,999,L,1,0 – 0.5 degrees,3,Well,0,236,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",ORT,Orthic,0,Sandy,NA,NA,NA,2,138.31,0,27,non-calcareous,0.5,3,0,0,0,1.75,0.5,17.81,0,0.5,0,0,5.91,12.65,8.6,0,2.01,100,0
173,2001,BP,Boreal Plain,E1,Firebag Hills,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,91.5,PINUBAN,VACCMYR,LINNBOR,CLADMIT,131.36,137.06,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,495,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ORT,Orthic,59,Loamy,NA,NA,NA,2,127.46,0.5,25,non-calcareous,6.5,37.5,0,0,0,11.5,0,7.55,0,0,0,3,3,1.75,66.05,0,17.76,11.5,0
174,2001,BP,Boreal Plain,E3,Palmbere Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,43.25,PICEMAR,LEDUGRO,EQUISYL,PLEUSCH,85.66,149.36,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,0,442,7,Moist,1,Fluvial,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,1,Sandy,NA,77,NA,12,153,1.75,24,non-calcareous,11.5,1.75,0,0,0,10,3.49,22.02,0,3.49,0,12.92,10.45,0,47.26,0,2,66.75,0
175,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,38.5,PINUBAN,EMPENIG,LYCOCLA,CLADMIT,25.81,65.01,3,Mid Slope,306,W,2,0.5 – 2.0 degrees,2,Rapid,0,217,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",ORT,Orthic,0,Sandy,NA,NA,NA,0,75.5,0,18,non-calcareous,0,3,0,28.75,0,1.75,0,21.6,0,0,0,0,20,2,4.21,0,1.5,47.75,0
178,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,150.6666718,PICEMAR,EMPENIG,MAIACAN,PLEUSCH,67.71,113.16,2,Upper Slope,315,W,4,5.0 – 9.0 degrees,2,Rapid,0,222,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",ORT,Orthic,0,Sandy,NA,NA,NA,5,112.51,0,25,non-calcareous,0,0.5,0,0,0,6.5,10,12.7,0,10,0,10,3,0,29.3,0,2.26,55.5,0
179,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,72.25,PINUBAN,VACCMYR,GEOCLIV,CLADMIT,48.1,107,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,227,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",ORT,Orthic,2,Sandy,NA,NA,NA,1,119.49,0,29,non-calcareous,0,0.5,0,0,0,3,0,40.58,0,0,0,0,39.38,1.99,5.41,0,0.25,71.25,0
180,2001,BP,Boreal Plain,E1,Firebag Hills,BP19,Black spruce treed bog,Moderately wet fibric organic,166,PICEMAR,LEDUGRO,RUBUCHA,CLADMIT,96.7,133.65,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,0,449,8,Very Moist,4,Lacustrine,2,Gleysolic,5,Gleysol,FER,Fera,0,Sandy,NA,45,NA,31,151.75,0,14,non-calcareous,3,3,0,0,0,3,0,48.54,0,0,0,0,37.81,17.25,39.82,0,2,53.25,0
181,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS12,White spruce/crowberry/feathermoss,Moderately fresh sand,157.5,PICEGLA,VACCVIT,CYPRACA,PLEUSCH,111.39,145.84,3,Mid Slope,180,S,5,9.0 – 15.0 degrees,2,Rapid,0,232,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",ORT,Orthic,0,Sandy,NA,NA,NA,8,182.29,0,29,non-calcareous,3,1.75,0,0,0,5.25,0.02,28.01,0,0.01,0.01,20,10,0.02,64.38,0,3.25,70.25,0
184,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS12,White spruce/crowberry/feathermoss,Moderately fresh sand,91,PICEGLA,VACCVIT,GOODREP,HYLOSPL,107.015,183.915,2,Upper Slope,322,N,3,2.0 – 5.0 degrees,2,Rapid,0,220,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",ORT,Orthic,0,Sandy,NA,NA,NA,7,150.77,0,35,non-calcareous,0.5,0.5,0,0,0,3,0,16.59,0,0,0,10,5.91,1.5,27.11,0,11.5,92.75,0
188,2001,BP,Boreal Plain,E1,Firebag Hills,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,67.5,PINUBAN,ALNUCRI,LINNBOR,PLEUSCH,90.6,155.1,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,493,6,Moderately Moist,1,Fluvial,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,8,Sandy,NA,NA,NA,4,98.72,0.25,19,non-calcareous,18.75,50,0.25,0,0,6.5,0,12.7,0,0,0,10,3,0,39.03,0,3.25,36.25,0
191,1999 2000,BS,Boreal Shield,C1,Athabasca Dunes,BS12,White spruce/crowberry/feathermoss,Moderately fresh sand,103.75,BETUPAP,EMPENIG,CYPRACA,PLEUSCH,66.55,83.15,3,Mid Slope,320,N,3,2.0 – 5.0 degrees,2,Rapid,0,222,3,Moderately Fresh,6,Eolian,6,Regosolic,10,"Regosol	",CUM,Cumulic,0,Sandy,NA,NA,NA,3,97,0,27,non-calcareous,37.5,0.5,0,0,0,0.5,3,5.91,0,3,0,3,3,0,53.95,0,1.5,28.5,0
